Title,Description
The tiny piece of the US hidden in England,"The rural idyll of Runnymede has played a surprisingly important role in British history. Seen by many as the birthplace of modern democracy, it was witness to King John's historic sealing of the Magna Carta over 800 years ago.

However, what many people don't realise is that it is also home to the only piece of American land in the whole of the UK. And it all dates back to one day in 1963 that changed history forever."
Flying cars: The future of personal mobility,"Flying cars: The future of personal mobility

Throughout history, novelists, engineers and painters alike envisioned a wheeled vehicle that would allow human beings to get a taste of what birds, butterflies and bees enjoy freely: flight. In the 21st century, these vehicles are becoming a reality.

How soon could we see flying cars crowd the skies above us? What's the future of personal mobility?

We interviewed the CEO of flying car company Alef Aeronautics, Jim Dukhovny, to find out more."
US English: Why do Brits hate it so?,"Long before Jamestown or the Pilgrim Fathers landed at Massachusetts in 1620, the US English style of spelling words such as 'honor', 'color', and 'center' were alive and well in British English.

Etymologist and broadcaster Susie Dent opens an 'aluminum' can of worms and teaches Brits a thing or two about their shared linguistic heritage.

Script and narration: Susie Dent

Animation: Dominika Ozynska and Adrian Hartrick"
Parthenogenesis: Why some species experience 'virgin births',"Why Europe has so few skyscrapers

Only seven of the world’s 1,000 tallest buildings are in the EU. Watch to find out why."
Oatzempic: Should you try the oat drink for weight loss?,"Why Europe has so few skyscrapers

Only seven of the world’s 1,000 tallest buildings are in the EU. Watch to find out why."
Why space isn't as colourful as photos make it seem,Have you wondered what it would be like to see space through your very own eyes? We spoke to the experts who process images from the James Webb Telescope to find out how close the pictures of our Universe are to reality.
Tracing Marco Polo's footsteps along the Silk Road,"Venetian explorer, merchant, and writer Marco Polo died 700 years ago, in the year 1324. In his travels, which started at the age of 17 and lasted over 20 years, he touched upon numerous cities like Acre, Trebizond, Baghdad, Tabriz, Hormuz, Samarkand, Kashgar, Beijing, and Xanadu. And upon his return, he did something no other European traveller had ever done before. He wrote it down, creating the first thorough account of China and the Silk Road for Europeans, who had never heard or even imagined it in such detail before."
Slovenia's remote bedroom on top of a snowy mountain,"Words that reveal if you are an extrovert or an introvert

Hyperbole is now a 'mega' part of the English language, but why did it happen?"
England's 'largest gold nugget' discovered,"The biggest gold nugget ever found in England has gone up for auction - but its origins remain a mystery.

Metal detectorist Richard Brock was using a machine that was ""pretty much kaput"" when he found the lump of precious metal, shortly after arriving.

The nugget has been valued between £30,000 and £40,000 ($37,743 to $50,335), but failed to sell at auction, although there is hope it will still be sold.

Video by Howard Timberlake

Interview filmed by Ben Godfrey"
Eclipse 2024: What makes it so special?,"In its slightly wobbly orbit around the Earth, the Moon occasionally blocks the Sun. Astrophysicist Erika Hamden explains why the solar eclipse of April 8th is different, and what you will experience if you are on the path of totality."
Words that reveal if you are an extrovert or an introvert,"There’s no doubt that the English language loves extremes, and the modern conversations are full of it. From 'Frankenstorms' and 'mega' to 'landmark' and 'awesome', just how did such linguistic supersizing take over? The answer may lie in how the extroverts amongst us need mental stimulation."
Why Northern Lights viewing is about to get more magical,"Before satellite technology brought us answers, the Northern Lights were a mysterious and unexplained phenomena, long woven into the legends of Arctic communities. Occurring in the polar regions, this colourful light show is caused when particles from the Sun hit the Earth's atmosphere. Around this year or next, it is anticipated that the solar cycle will peak and a period of more intense and complex Northern Lights will follow."
Moment US House passes critical Ukraine aid package,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
Moment huge explosion rocks Iraq military base housing pro-Iranian militia,"Moment huge explosion rocks Iraq military base housing pro-Iranian militia

Videos posted on social media and verified by the BBC show the moment a military base in Iraq housing a pro-Iranian militia was rocked by an explosion.

Local security officials said one person was killed and eight others wounded.

Iraq's military reported no drones or fighter jets in the area before or during the blast.

But the militia organisation involved, the Popular Mobilisation Forces (PMF), blamed an attack."
Watch: Christ the Redeemer statue in Rio turns green for indigenous day,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
Cicadas on the menu in New Orleans,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
What's at stake in Trump's unprecedented trial?,"What's at stake in Trump's unprecedented trial?

Donald Trump's first criminal trial is under way in New York City. He is accused of trying to cover up a $130,000 hush-money payment to porn star Stormy Daniels ahead of the 2016 election - which he won.

The case marks the first time a US president - sitting or current - has faced a criminal trial."
Volkswagen workers vote to unionize in major win for organised labour,
Dubai airport: Full schedule resumes after flooding chaos,
Oil and gold prices ease as Iran downplays attack,
Netflix: Profits soar after password sharing crackdown,
US rate setter tells BBC 'no hurry' to cut interest rates,
Why a deluge of Chinese-made drugs is hard to curb,
Oppenheimer star Cillian Murphy adds Ifta to his trophy cabinet,
Mandisa: American Idol singer dies aged 47,
Baby Reindeer star Jessica Gunning: 'I couldn't stop thinking about the characters',
Tortured Poets Department: How Taylor Swift album lyrics captured modern dating despair,
Quentin Tarantino: Everything we know about his 10th and final film,
But Daddy I Love Him: Taylor Swift takes aim at critics with new track,
Dunraven Bay: The beach where people keep finding human bones,
Oysters: The luxury delicacy that was once a fast-food fad,
'I want to erase my own footprint': The women looking after an island paradise,
'Apocalyptic' Dubai floods shake picture-perfect city,
Water extraction and weight of buildings see half of China's cities sink,
Balloon syndrome hedgehog found in Gloucestershire field,
What is cloud seeding and did it cause Dubai flooding?,
Climate change: Deadly African heatwave 'impossible' without warming,
Fallout: Could Amazon's show turn TV viewers into gamers?,
What's behind big tech's outages?,
Can AI help solve Japan’s labour shortages?,
Women Who Code: Influential tech network shuts down unexpectedly,
Tesla recalls Cybertrucks over accelerator crash risk,
"Boops, hums and farts: The mysterious world of fish communication",
Does 'zombie deer disease' pose risks for humans?,
Women on the 'taboo' of cancer in south Asian communities,
Does apple cider vinegar really help with weight loss?,"Why Europe has so few skyscrapers

Only seven of the world’s 1,000 tallest buildings are in the EU. Watch to find out why."
"Does it really take 10,000 steps to stay healthy?","Why Europe has so few skyscrapers

Only seven of the world’s 1,000 tallest buildings are in the EU. Watch to find out why."
What is the iron lung and how does it work?,"Why Europe has so few skyscrapers

Only seven of the world’s 1,000 tallest buildings are in the EU. Watch to find out why."
The 24-year-old selling human bones,"With a vast bone collection worth over $600,000 and a large social media following, Jon Pichaya Ferry is revitalising the field of osteology. During a visit to his warehouse in Brooklyn, New York, he gives us a glimpse into his collection and the fascinating findings he has discovered."
The search for a cancer 'kill-switch'... in space,"Why Europe has so few skyscrapers

Only seven of the world’s 1,000 tallest buildings are in the EU. Watch to find out why."
Why we have hair on our heads,We were once covered head to foot in hair. And then we lost most of it but kept the mop up top. Why the hairy scalp? What scientific purpose does it serve?
Are we worse at Moon landings than 50 years ago?,"Why Europe has so few skyscrapers

Only seven of the world’s 1,000 tallest buildings are in the EU. Watch to find out why."
The town that stopped the plague,"The bubonic plague has cropped up in the US for the first time in nearly a decade. But, thanks to modern medicine, it is much less deadly than its notorious past."
What to know about brain computers,"The brain computer may soon not just be a device out of a sci-fi novel, but a reality. Elon Musk's neurotechnology company, Neuralink, has implanted a chip into a human brain and the patient is said to be ""recovering well"". Who will this technology help most? How risky is it?"
How to make better New Year's resolutions,"New year, new you, but perhaps you've broken one or two of your News Year's resolution already? If so, you're not alone, because on average 80% of resolutions fail. So, how can we get better at making and sticking to our goals?"
We inhale a credit card's worth of microplastics each week,"Why Europe has so few skyscrapers

Only seven of the world’s 1,000 tallest buildings are in the EU. Watch to find out why."
Does cough medicine actually work?,"Why Europe has so few skyscrapers

Only seven of the world’s 1,000 tallest buildings are in the EU. Watch to find out why."
See what your brain does when you look at art,Headsets that show the impact of art on human brainwaves are to be toured at museums and galleries around the UK. They are connected to an electroencephalogram (EEG) monitor and allow people's brainwaves to be visualised in 3D and in real-time on screen.
Could this drink really help you sleep?,"Why Europe has so few skyscrapers

Only seven of the world’s 1,000 tallest buildings are in the EU. Watch to find out why."
The hoax equation behind Blue Monday,"Why Europe has so few skyscrapers

Only seven of the world’s 1,000 tallest buildings are in the EU. Watch to find out why."
How I rewired my brain in six weeks,"How I rewired my brain in six weeks

There is growing evidence that simple, everyday changes to our lives can alter our brains - and we all have the power to control that to some extent, a process known as neuroplasticity.

How do we keep our brains healthy? And what can we do to help strengthen crucial connections and keep our minds younger in the process?

In these four films, science journalist Melissa Hogenboom looks at the most cutting-edge scientific research and has her own brain scanned and analysed, with intriguing results.

Part 1 of 4 looks how how meditation can rewire the brain."
How to fight your winter blues as darker days set in,"The shorter days of winter can dampen our spirits and trigger anxiety, fatigue, and depression. In some places above the Arctic Circle, where winter is the longest season, the inhabitants don't see the sun from November until February. But what can be done to fight the gloomy greyness of winter?"
How your family shapes your body image,"Why Europe has so few skyscrapers

Only seven of the world’s 1,000 tallest buildings are in the EU. Watch to find out why."
An inside look at the near-death experience,"Why Europe has so few skyscrapers

Only seven of the world’s 1,000 tallest buildings are in the EU. Watch to find out why."
What did our ancient Universe sound like?,"Why Europe has so few skyscrapers

Only seven of the world’s 1,000 tallest buildings are in the EU. Watch to find out why."
An insider's guide to the best cheesesteaks in Philadelphia,
The bloody turtle video that sparked a plastic straw revolution,
How a fictitious 'sea' became a top Maldivian tourist attraction,
A local expert's guide to seeing the most beautiful tulips in the Netherlands,
Botswana's inspirational women safari guides who are navigating change,
Photos from the deep sea show 'exciting' new species,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
The rewilding project bringing back an ancient breed of cattle to Portugal,
The surprising US region that's home to the world's oldest forests,
Mesmerising life in the deep sea,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
"Flirt, date, divorce: The robust romantic lives of birds","Words that reveal if you are an extrovert or an introvert

Hyperbole is now a 'mega' part of the English language, but why did it happen?"
Rare footage shows life through the eyes of polar bears,"Words that reveal if you are an extrovert or an introvert

Hyperbole is now a 'mega' part of the English language, but why did it happen?"
Photographer tells BBC how he captured polar bear photo,"Words that reveal if you are an extrovert or an introvert

Hyperbole is now a 'mega' part of the English language, but why did it happen?"
Searching for gold in Alaska,"Words that reveal if you are an extrovert or an introvert

Hyperbole is now a 'mega' part of the English language, but why did it happen?"
The monster volcanoes hidden beneath Italy,"Words that reveal if you are an extrovert or an introvert

Hyperbole is now a 'mega' part of the English language, but why did it happen?"
"An unprecedented 1,000 manatees are gathering in Florida this week – but why?",
What to expect from this year's rare double brood of cicadas,
Last male of his kind: The rhino that became a conservation icon,
Antarctic tourism: Should we just say no?,
Visualising the Great Pacific Garbage Patch,
The US is bringing back nature's best firefighters: beavers,
The Greek Island of geometrical wonders,"Pyrgi is a puzzling medieval village in the middle of the Mediterranean island of Chios. In this hamlet, every house façade is decorated with hypnotical geometric patterns that create a three-dimensional wonderland for those who stroll through its streets. The decoration technique is called xysta or sgraffito: an engraving using symmetrical tools. Today, ethno-mathematicians are studying the concepts behind the complex decorations, as an insight into medieval mathematics. What is the true story hidden behind the geometrical patterns of Pyrgi?"
Børsen fire: Denmark endures its own Notre Dame devastation,
Israel Iran attack: Damage seen at air base in Isfahan,
Funeralgoers die as ferry sinks in CAR,
Ethiopia land violence leaves thousands homeless,
US migrant crisis shifts from Texas to California border,
USC: University cancels all outside graduation ceremony speakers after controversy,
Man who set himself on fire outside Trump's Manhattan hush money trial dies,
Baseball coach filmed in cockpit under FAA investigation in US,
Trump jury members set for opening statements: Who are they?,
What do GPs think of Rishi Sunak's plan to strip them of sick note powers?,
'UK less ambitious on climate than before' says watchdog,"'UK less ambitious on climate than before' says watchdog

The head of a government climate change watchdog has told the BBC that Downing Street has sent a message to the rest of the world that ""the UK is less ambitious on climate than it once was"".

Speaking exclusively to Sunday with Laura Kuenssberg, Chris Stark, head of the Climate Change Committee (CCC), said the prime minister had ""clearly not"" prioritised the issue as much as his predecessors.

The CCC is a statutory body that gives independent advice to ministers and assesses progress on targets."
"Chris Stark: Rishi Sunak has set us back, head of climate change watchdog says",
Former MPs hoping for a comeback at the next election,
BBC presenter reports racist abuse on London train,
Elfbar: Vape firm claims it will survive UK disposable ban,
App to cut EU border queues won't be ready in time,
"Co-op Live, Manchester's £365m new arena, opens with big capacity and plans",
Co-op Live bosses apologise as arena test gig tickets cancelled,
These are the neighbourhoods in most urgent need of trees,
"Brewed from old bread crusts, the world's oldest beer recipe is experiencing a revival",
Mercury: The Solar System's smallest planet may once have been as large as Earth,
Texas' skyscrapers are going dark to keep billions of birds safe,
London Marathon: Man to compete after leukaemia diagnosis,
Ketamine bladder: Special clinics as youth addiction 'explodes',
Infected blood scandal: Children were used as 'guinea pigs' in clinical trials,
Is filtered water healthier than tap water?,
Dunraven Bay: Ancient bones could be thousands of years old,"Dunraven Bay: Ancient bones could be thousands of years old

Human bones found after the collapse of an ancient wall ""could be thousands of years old"", a historian has said.

The remains emerged near Dunraven Bay, in Southerndown, Vale of Glamorgan, on 9 April and have been sent for carbon dating.

Graham Loveluck-Edwards said the soil in the area is a good at preserving bones for a long time.

The three most likely explanations, he said, are prehistoric cave burials, a massacre in the area during the 1st Century, or the remains of dead from shipwrecks along the coast from the 16th to 18th Centuries."
The ingenious wines birthed from black volcanic craters,
Thailand's cooling rice dish to beat the heat,
Kek lapis: The most beautiful cake for Ramadan,
The sweet Chinese dumpling that honours the dead,
ZaaZaa: A decadent avocado smoothie to break the Ramadan fast,
An expert's guide to the best banh mi in Ho Chi Minh City,
"The eight best bagels in NYC, according to the city's Bagel Ambassador",
National Park City founder Dan Raven-Ellison's guide to London's best outdoor spaces,
A Roman celebrity chef's guide to the best carbonara in his hometown,
A Los Angeles-based food columnist's favourite insider eating spots,
BBC News Regions,
Latest Financial News & Data,"– No value available

2381.80"
"With its depiction of stalking and sexual assault, brutal show Baby Reindeer is gut-punching viewers",
I was accidentally in Taggart,
Travis Kelce to host Amazon game show Are You Smarter Than a Celebrity?,
Red Herring brain tumour documentary to be shown in cinemas,
Taylor Swift Tortured Poets Department review: Album finds star vulnerable but vicious,
Dickey Betts: The Allman Brothers Band guitarist and songwriter dies at 80,
Martine Croxall: News presenter to begin legal action against BBC,
Rihanna says fashion has helped her personal 'rediscovery' after having children,
The legendary soprano making a difference,Dame Kiri Te Kanawa has enjoyed one of the longest careers in operatic history. The New Zealand soprano is a favourite of the UK Royal Family – and became a household name when she sang at the wedding of King Charles and Princess Diana.
Callas at 100: 'This is the stuff legends are made of',"Journalist Zeinab Badawi heads to Athens to celebrate the marking of the centenary of the birth of the Greek-American opera soprano Maria Callas, hailed as the best soprano of her age and certainly one of the greatest singers in operatic history.

As famous for her colourful romantic life as for her talent, she was portrayed as a 'prima donna' by the media. They relentlessly published details of her personal life including her difficult relationship with her mother and her affair with the Greek tycoon Aristotle Onassis, who humiliated her by marrying former US first lady Jackie Kennedy.

Zeinab explores how far Maria Callas' early life and training in Greece shaped her sensational career and finds out how far she remains an icon for young singers today."
Behind the scenes at La Scala in Milan,"Zeinab Badawi travels to La Scala in Milan, one of the world’s most prestigious opera houses, where top singers like the thrilling Bulgarian soprano Sonya Yoncheva perform in starring roles. But what audiences do not see is the army of talent backstage who make sure that everything is right on the night.

Zeinab goes behind the scenes and visits the vast workshop attached to La Scala Theatre where technical teams work painstakingly and patiently to deliver amazing sets, backdrops, costumes, and props. We also hear from Sonya Yoncheva and her conductor husband Domingo Hindoyan about how getting the relationship right between conductor and singer is critical to any opera’s success. The magic and art of opera is when it all comes together on opening night."
The journey to become an opera singer,"Every year, La Scala trains hundreds of young people from countries all around the world in all aspects of theatre, craft and opera singing.

Zeinab goes behind the scenes to follow four young opera singers: from Europe, Asia and Latin America, as they are put through their paces. They have grit and talent and they all want to become the top opera stars of the future."
The sustainable power of Glyndebourne,"Zeinab Badawi ventures into the English countryside to go behind-the-scenes at the historic opera venue of Glyndebourne, in East Sussex. She asks how far Glyndebourne is leading the way in trying to make opera fit for the future through innovative initiatives around sustainability."
Antonio Pappano: 'Opera is an art form',"Sir Antonio Pappano is ending his celebrated tenure as Music Director of Covent Garden after the 2023/24 season to take up the post of Music Director of the London Symphony Orchestra. As the son of Italian immigrants, Pappano comes from a modest background. He explains why he believes opera is an art form that can and should be enjoyed by everyone from all walks of life."
Zeinab Badawi meets German tenor Jonas Kaufmann,"Words that reveal if you are an extrovert or an introvert

Hyperbole is now a 'mega' part of the English language, but why did it happen?"
Gustavo Dudamel: 'Music has the power to change the world',"Gustavo Dudamel: 'Music has the power to change the world'

Zeinab Badawi travels to the Paris Opera to meet one of the most admired, charismatic and flamboyant figures in the world of classical music and opera: the Venezuelan-born conductor Gustavo Dudamel.

Dudamel is bringing a gust of fresh air, through his youthful star power to the 350-year-old Paris National Opera as its music director"
'Singing is the air that we breathe',"'Singing is the air that we breathe'

Zeinab Badawi goes behind the scenes at the Royal Opera House with bass-baritone Sir Bryn Terfel, one of the most distinguished opera singers of our age.

In demand on stages across the world, Bryn has stayed true to his Welsh roots and is a great proponent of Welsh culture."
Nine of the best TV shows to watch this April,
Civil War to The First Omen: 10 of the best films to watch in April,
10 of the best TV shows to watch this March,
Dune: Part Two to Road House: 11 of the best films to watch in March,
Nine of the best TV shows to watch this February,
The Taste of Things to How to Have Sex: Ten of the best films to watch in February,
Titanic survivor recalls disaster: 'I shall probably dream about it tonight',
Twin Peaks' Agent Cooper: How TV's strangest detective was born,
'Britain's Schindler': The man who saved 669 children from the Nazis,
Gloria Steinem on the trailblazing magazine 'for women in all their diversity',
In History: How Ruth Bader Ginsburg foresaw the threat to abortion access in the US,
Francis Ford Coppola on how The Godfather was a stark warning for the US,
Hyenas and wild pigs feature in new David Bowie remix,"Hyenas and wild pigs feature in new David Bowie remix

Musicians have long incorporated nature's sounds into their music - think of the chirruping in The Beatles' ""Blackbird"", or the rain falling in ""Riders on the Storm"" by The Doors.

Well, now a new project will see nature benefit from this.

From Thursday, artists who sample nature will automatically split their profits with environmental causes through a project called Sounds Right, which is sponsored by the UN."
'Northern Ireland looks like a fairy tale',Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
Hannah Waddingham calls out demanding paparazzi,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
Rushdie reveals extent of his wounds from knife attack,The Satanic Verses author has been speaking ahead of publishing a memoir about the stabbing in which he lost an eye. The attack happened at a literary event in New York two years ago. Sir Salman Rushdie tells the BBC's Alan Yentob the loss of his eye upsets him every day.
The Spitz: Transforming care home residents lives with music,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
Kirsten Dunst reveals why she never challenged being paid less than her male co-stars,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
Contenders are you ready? Gladiators finalists set for ultimate challenge,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
Finding Nana: New book to tackle family concerns over care homes,"Finding Nana: New book to tackle family concerns over care homes

A book has been launched to help children navigate the emotional journey when an elderly relative moves into a care home.

Finding Nana, follows Ellie as she visits her grandmother in a care home for the first time.

Author Jenni Bacon said: ""It's about what happens for Ellie when she realises that her special place is not nana's house it's actually where nana is""."
The football coach taking England's players to the Homeless World Cup,"The football coach taking England's players to the Homeless World Cup

Meet the Sudanese refugee who is taking England's homeless football squad to the Homeless World Cup.

Frankie Juma fled Sudan in 2016, and when he arrived in the UK he was put in touch with Renaissance Foundation, a London youth charity who introduced him to Street Soccer London as a way to help his mental and physical health.

After starting as a player, Juma now coaches the team who will travel to South Korea in the autumn to compete in the next Homeless World Cup."
Sheridan Smith on how she drew on her own mental health experiences for her latest role.,"Her character is an actress facing mental health troubles before the first night of her new show.

Sheridan spoke to the BBC's Charlotte Gallagher about how she drew on her own personal experiences and how happy she is to be back on stage."
Wookey Hole unveils model of the moon in underground cave,"Photographers create Exmoor photo library

More than 1,000 images of the national park are being made available for use free of charge."
What is the Oedipus Complex and how do we know that incest is wrong?,"The Oedipus Complex is named after the character from a Greek tragedy who killed his father by mistake, and slept with his mother without realising who she was. Freud's ideas on sexual development included the theory that boys reach a developmental stage when they lust after their mothers and that girls go through a similar stage, when they unconsciously fall in love with their fathers. For Freud, growing to psychological maturity for children involved experiencing and then getting beyond these Oedipus or Electra complexes. Edvard Westermarck saw it differently."
An emotional farewell to the Hairy Bikers,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
Ulster Orchestra: 'We're hoping just to make a few sparks',"Ulster Orchestra: 'We're hoping just to make a few sparks'

Attention mini maestros - musicians from the Ulster Orchestra are keen to pass the baton to a younger generation of conductors, players and proteges.

Members from the orchestra took their joy in music to John Paul II Primary School in west Belfast as part of an initiative to expose young people to the educational and developmental benefits of orchestral music.

The Ulster Orchestra players have delivered workshops to 10,000 primary school children.

Nigel Ireland, the Ulster Orchestra Community Liaison, lead the Inspiration Workshops.

He said the idea behind the workshops was to inspire young children."
Sir Lenny Henry says goodbye to Comic Relief with hit Barbie ballad,"Sir Lenny Henry says goodbye to Comic Relief with hit Barbie ballad

This video has been removed for rights reasons.

Sir Lenny Henry transformed into Barbie's Ken as part of his last stint presenting Comic Relief.

The comedian wore a blonde wig and a fur coat to perform 'I'm Just Ken' in a pre-recorded music video.

Later in the programme he said it had been an ""honour and a joy"" to be the face of Comic Relief.

He said: ""It is not about me - it is about the mirth and the money, the comedy and compassion."""
The great-grandad guitarist with musical dreams,"The great-grandad guitarist with musical dreams

A great-grandfather is ready to make his mark in the music world after a hiatus of almost 50 years.

Jimmy Findlay, who lives near Lanark, was in a band in the late 1960s but gave it all up when he sold his guitar to pay for his wedding.

Now, he is reflecting on his life through his music and has played gigs, featured on local radio and even made some music videos in recent years.

He has big ambitions – including a dream to perform at the Royal Albert Hall."
Meet the new boss of British Vogue,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
Spice Girl Mel B on writing about her experience of domestic abuse,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
Watch: Robert Downey Jr thanks 'terrible childhood' for first Oscar win,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
"Barbie, Oppenheimer & a wardrobe malfunction? Oscars best bits in 60 seconds",Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
Ilkley fountain art auction raises more than £10k,
Suffolk One students celebrate their different cultures,
Stephen Mangan to bring dad jokes to 2024 Hay Festival,
Swindon festival to celebrate life of Steve Grimmett,
Belfast's new community space aiming to Show Some Love,
Northumbria University exhibition honours snooker ace Vera Selby,
Texaco Children's Art: Charley Bell wins for second year in a row,
Carlisle United fans' memorabilia forms Blues' history exhibition,
Thousands rally in Spain's Canary Islands against mass tourism,
strategic Iranian city where explosions heard,
Attack sends message to Iran but Israelis divided over response,
BBC Verify examines video from Israel's attack on Iran,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
What we know about Israel's missile attack on Iran,
Why have Israel and Iran attacked each other?,
